series_id,series_name,image,min_price,max_price,count,price,dealer_price
2843,蔚来ES6,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/feffe1ceb54d462ab4c050ad15104810~tplv-resize:640:0.png?psm=motor.rank.data,33.8,35.0,38109,33.80-35.00万,33.80-35.00万
10205,海豹06GT,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/672c5e9c36d24ac09e4ad2aaced79d78~tplv-resize:640:0.png?psm=motor.rank.data,12.89,16.99,33839,12.89-16.99万,11.68-16.39万
20138,海狮05DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bbc8e2d2672c4c13b4e96879985cb57d~tplv-resize:640:0.png?psm=motor.rank.data,9.28,12.79,20357,9.28-12.79万,7.98-12.79万
25587,海豹06DM旅行版,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e8bb66b8053b4739ba5419afdb147938~tplv-resize:640:0.png?psm=motor.rank.data,9.98,13.99,20229,9.98-13.99万,8.98-13.29万
10171,腾势Z9GT DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/42212ec7b5c44a9dad7963319065c204~tplv-resize:640:0.png?psm=motor.rank.data,30.98,41.48,4911,30.98-41.48万,28.48-36.48万
9267,零跑A10,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/8e18f595bd944717b1137b2808f3e02e~tplv-resize:640:0.png?psm=motor.rank.data,6.58,8.68,3968,6.58-8.68万,6.58-8.68万
9636,坦克700 Hi4-T,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/525b2e850f294a4c8290558edc953322~tplv-resize:640:0.png?psm=motor.rank.data,42.8,70.0,3564,42.80-70.00万,42.80-70.00万
25620,iCAR V27,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c08399c05527410ebfb85a391d275c65~tplv-resize:640:0.png?psm=motor.rank.data,16.98,19.68,2681,16.98-19.68万,16.96-19.66万
10070,腾势Z9GT EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/1fbd29e0eb5e446fb6a278ed7f2fb73e~tplv-resize:640:0.png?psm=motor.rank.data,26.98,38.48,1346,26.98-38.48万,26.98-36.98万
25922,宋Ultra EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d0202671a8764eaa90d52d32749478d3~tplv-resize:640:0.png?psm=motor.rank.data,15.19,17.99,1214,15.19-17.99万,12.69-15.49万
9657,铂智7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/c439a3dbcd4646909a7361f90521bda6~tplv-resize:640:0.png?psm=motor.rank.data,15.98,21.48,703,15.98-21.48万,15.98-21.48万
25877,智己LS8,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/5c0a1299823b4ab181ff7b118967328a~tplv-resize:640:0.png?psm=motor.rank.data,24.98,29.98,413,24.98-29.98万,24.98-29.98万
25555,ZEEKR 8X,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0c80ca14584f41119a8904a0045fc2af~tplv-resize:640:0.png?psm=motor.rank.data,35.68,50.08,14,35.68-50.08万,32.98-47.38万
